Keyword/Keyword Phrase,Related Terms,Volume,CPC,URL,Outbound Links
plumber,graham plumbers merchant,5400,3.04,http://www.buildersmerchantsnews.co.uk/news/fullstory.php/aid/11982/Graham_expands_its_network_with_new_branches_.html,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,graham plumbers merchant,5400,3.04,https://bathroom-showrooms.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,graham plumbers merchant,5400,3.04,https://www.yell.com/biz/graham-ipswich-6894951/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,graham plumbers merchant,5400,3.04,https://www.totaljobs.com/jobs-at/graham/jobs,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,graham plumbers merchant,5400,3.04,http://www.buildersmerchantsjournal.net/graham-appoints-new-md/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,graham plumbers merchant,5400,3.04,https://merlynshowering.com/showroom/graham-plumber-merchants-edinburgh-seafield/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,graham plumbers merchant,5400,3.04,https://uk.trustpilot.com/review/www.grahamplumbersmerchant.co.uk,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,local plumbers,5400,6.11,https://www.localheroes.com/plumber,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,local plumbers,5400,6.11,https://www.local-plumbers.org/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,local plumbers,5400,6.11,https://www.local-plumbers.org/contact/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,local plumbers,5400,6.11,https://www.trustatrader.com/plumbers,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,local plumbers,5400,6.11,http://www.plumberslocally.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,local plumbers,5400,6.11,https://www.ratedpeople.com/local-plumbers,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,local plumbers,5400,6.11,https://www.mybuilder.com/plumbers/in/uk,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,local plumbers,5400,6.11,https://www.gumtree.com/plumbing-services/uk/local+plumbers,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,local plumbers,5400,6.11,https://www.gumtree.com/plumbing-services/london/local+plumbers,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,local plumbers,5400,6.11,https://www.localplumberswecare.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,local plumbers,5400,6.11,https://www.dyno.com/plumbers,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,local plumbers,5400,6.11,https://www.yourlocalplumbingcompany.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,local plumbers,5400,6.11,https://www.plumbforcedirect.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,local plumbers,5400,6.11,https://www.checkatrade.com/LocalPlumbersWeCare/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumber london,4400,14.21,https://www.my-plumber.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumber london,4400,14.21,https://www.plumbforcedirect.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumber london,4400,14.21,https://www.pimlicoplumbers.com/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumber london,4400,14.21,https://www.trustatrader.com/plumbers-in-london,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumber london,4400,14.21,https://www.aspect.co.uk/trades/plumbing-and-cold-water/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumber london,4400,14.21,https://www.ratedpeople.com/local-plumbers/london,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumber london,4400,14.21,https://www.plumblondon.com/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumber london,4400,14.21,https://www.checkatrade.com/Search/Plumber/in/London,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumber london,4400,14.21,https://www.wpjheating.co.uk/plumbing-london/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumber london,4400,14.21,https://www.mybuilder.com/plumbers/england/london,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumber london,4400,14.21,https://london-plumber.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumber london,4400,14.21,https://www.gumtree.com/plumbing-services/london,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumber london,4400,14.21,https://www.yell.com/s/plumbers-london.html,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumber london,4400,14.21,https://www.marvel.plumbing/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumber london,4400,14.21,https://www.fantastichandyman.co.uk/plumbers-services/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers mate,3600,0.26,https://www.plumbers-mate-sales.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers mate,3600,0.26,https://www.amazon.co.uk/Stik-Plumbers-Mait-750g-456006/dp/B0001P03TM,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers mate,3600,0.26,https://www.indeed.co.uk/Plumbers-Mate-jobs,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers mate,3600,0.26,https://www.screwfix.com/p/evo-stik-plumber-s-mait-750g/14477,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers mate,3600,0.26,https://www.totaljobs.com/jobs/plumbers-mate,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers mate,3600,0.26,https://www.plumbersmateuk.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers mate,3600,0.26,https://www.diy.com/departments/evo-stik-plumbers-mait-non-setting-putty-750-g/30582_BQ.prd,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers mate,3600,0.26,https://www.jobsite.co.uk/jobs/plumbers-mate,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers mate,3600,0.26,https://www.cv-library.co.uk/jobs/plumbers-mate,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers mate,3600,0.26,https://www.toolstation.com/plumbers-mait/p66106,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
